Date,Kbrevis,S79.Q,S79.TN,S79.TP,S77.TN
4/30/2019,-0.41833067,-761.7763448,-0.0744998,0.00078869,0.26228331
5/14/2019,-0.41401917,-500.9347233,-0.05785129,0.01394428,0.37779543
5/28/2019,-0.47034522,-144.6650375,-0.03047508,0.02667336,0.48578432
6/11/2019,-0.57515436,258.3770921,0.00564704,0.03769328,0.57237908
6/25/2019,-0.6919167,639.8232905,0.04717648,0.04577833,0.62312324
7/9/2019,-0.7662517,933.5142724,0.09055834,0.05024543,0.63023984
7/23/2019,-0.74159947,1076.757213,0.13280115,0.0510441,0.59598187
8/6/2019,-0.56751421,1025.884349,0.17131673,0.04858135,0.52844857
8/20/2019,-0.21662797,758.3372733,0.20381623,0.04352319,0.43978916
9/3/2019,0.3056032,292.7477145,0.22805841,0.03675614,0.34060476
9/17/2019,0.95900191,-320.4404917,0.24155467,0.02936184,0.24625094
10/1/2019,1.67505571,-1012.411733,0.24167811,0.0221857,0.16166948
10/15/2019,2.36398757,-1704.118786,0.22609212,0.01566166,0.08480486
10/29/2019,2.93173562,-2315.360457,0.19418379,0.00977057,0.01264991
11/12/2019,3.29640382,-2773.506268,0.14763623,0.00421536,-0.05669196
11/26/2019,3.40251703,-3026.742863,0.09119179,-0.0014112,-0.12519827
12/10/2019,3.23290349,-3049.996122,0.03206334,-0.00729371,-0.19281881
12/24/2019,2.81035655,-2846.922522,-0.02132449,-0.01332291,-0.25885863
1/7/2020,2.1895183,-2452.436059,-0.06226447,-0.01925037,-0.31743663
1/21/2020,1.44535974,-1928.853974,-0.08633285,-0.02459822,-0.35619645
2/4/2020,0.65890364,-1357.119605,-0.09197255,-0.02867579,-0.36379225
2/18/2020,-0.09019586,-825.3269513,-0.08006434,-0.03065089,-0.32967667
3/3/2020,-0.74994619,-412.9918009,-0.05324081,-0.02977097,-0.25073823
3/17/2020,-1.28261943,-175.567224,-0.01530647,-0.02555295,-0.12951778
3/31/2020,-1.68557571,-130.6713997,0.02991985,-0.01780687,0.0272632
4/14/2020,-1.97838024,-270.0189318,0.07850778,-0.00686774,0.20283244
4/28/2020,-2.19238943,-554.010819,0.12655922,0.00631699,0.37470204
5/12/2020,-2.36889433,-917.7419724,0.1713235,0.02066957,0.52779342
5/26/2020,-2.53515651,-1277.70216,0.20976718,0.03497003,0.64399894
6/9/2020,-2.70621552,-1547.687015,0.23811601,0.04801647,0.70942306
6/23/2020,-2.87778288,-1642.30784,0.25310738,0.05818433,0.71632936
7/7/2020,-3.02936726,-1494.799199,0.25346516,0.06430029,0.66305341
7/21/2020,-3.13232923,-1071.91786,0.24050562,0.06586187,0.565747
8/4/2020,-3.14888441,-382.4050424,0.21797467,0.06315373,0.44533101
8/18/2020,-3.05797422,522.8960258,0.19111553,0.05736673,0.31985144
9/1/2020,-2.83276642,1533.686049,0.16524881,0.0496634,0.20361499
9/15/2020,-2.47170633,2522.484565,0.14337136,0.04116569,0.10605925
9/29/2020,-1.99357808,3349.770341,0.1263831,0.0328211,0.03120991
10/13/2020,-1.43279065,3902.046617,0.11346756,0.02498634,-0.02140823
10/27/2020,-0.83332588,4085.402076,0.10103891,0.01776094,-0.06414602
11/10/2020,-0.24827589,3863.853548,0.0851327,0.01092934,-0.09914382
11/24/2020,0.29424044,3256.736122,0.06192607,0.00350855,-0.13528571
12/8/2020,0.73738133,2352.295379,0.03103277,-0.00454254,-0.17098808
12/22/2020,1.05148932,1255.390019,-0.00676675,-0.01333523,-0.20825071
1/5/2021,1.24176404,109.5147959,-0.0484183,-0.02256047,-0.24175739
1/19/2021,1.32300693,-951.4117546,-0.08970018,-0.0317817,-0.26457821
2/2/2021,1.31224611,-1817.765928,-0.12566167,-0.04012457,-0.26367146
2/16/2021,1.26777787,-2421.579263,-0.15339981,-0.04653331,-0.2456708
